[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 22:32:54.166] ,-3,23,1074                   
[2019-11-16 22:33:06.768] ,-3,23,1074                   
[2019-11-16 22:33:19.366] ,-3,23,1074                   
[2019-11-16 22:33:31.959] ,-3,23,1074                   
[2019-11-16 22:33:44.557] ,-3,23,1074                   
[2019-11-16 22:33:57.148] ,-3,23,1074                   
[2019-11-16 22:34:09.741] ,-3,23,1074                   
[2019-11-16 22:34:22.334] ,-3,23,1074                   
[2019-11-16 22:34:34.929] ,-3,22,1074                   
[2019-11-16 22:34:47.524] ,-3,23,1074                   
[2019-11-16 22:35:00.117] ,-3,23,1074                   
[2019-11-16 22:35:12.710] ,-3,23,1074                   
[2019-11-16 22:35:25.305] ,-3,23,1074                   
[2019-11-16 22:35:37.897] ,-3,22,1074                   
[2019-11-16 22:35:50.491] ,-3,23,1074                   
[2019-11-16 22:36:03.086] ,-3,23,1074                   
[2019-11-16 22:36:15.685] ,-3,23,1074                   
[2019-11-16 22:36:28.274] ,-3,23,1074                   
[2019-11-16 22:36:40.867] ,-3,23,1074                   
[2019-11-16 22:36:53.467] ,-3,23,1074                   
[2019-11-16 22:37:06.063] ,-3,23,1074                   
[2019-11-16 22:37:18.656] ,-3,23,1074                   
[2019-11-16 22:37:31.251] ,-3,23,1074                   
[2019-11-16 22:37:43.842] ,-3,23,1074                   
[2019-11-16 22:37:56.437] ,-3,23,1074                   
[2019-11-16 22:38:09.031] ,-3,23,1074                   
[2019-11-16 22:38:21.625] ,-3,23,1074                   
[2019-11-16 22:38:34.219] ,-3,23,1074                   
[2019-11-16 22:38:46.813] ,-3,23,1074                   
[2019-11-16 22:38:59.407] ,-3,23,1074                   
[2019-11-16 22:39:12.005] ,-3,23,1074                   
[2019-11-16 22:39:24.600] ,-3,22,1074                   
[2019-11-16 22:39:37.196] ,-3,23,1074                   
[2019-11-16 22:39:49.793] ,-3,23,1074                   
[2019-11-16 22:40:02.389] ,-3,23,1074                   
[2019-11-16 22:40:14.985] ,-3,23,1074                   
[2019-11-16 22:40:27.575] ,-3,23,1074                   
[2019-11-16 22:40:40.170] ,-3,23,1074                   
[2019-11-16 22:40:52.763] ,-3,23,1074                   
[2019-11-16 22:41:05.357] ,-3,23,1074                   
[2019-11-16 22:41:17.951] ,-3,23,1074                   
[2019-11-16 22:41:30.545] ,-3,23,1074                   
[2019-11-16 22:41:43.139] ,-3,23,1074                   
[2019-11-16 22:41:55.732] ,-3,23,1074                   
[2019-11-16 22:42:08.326] ,-3,23,1074                   
[2019-11-16 22:42:20.920] ,-3,23,1074                   
[2019-11-16 22:42:33.515] ,-3,23,1074                   
[2019-11-16 22:42:46.109] ,-3,23,1074                   
[2019-11-16 22:42:58.703] ,-3,23,1074                   
[2019-11-16 22:43:11.297] ,-3,22,1074                   
[2019-11-16 22:43:23.890] ,-3,23,1074                   
[2019-11-16 22:43:36.483] ,-3,23,1074                   
[2019-11-16 22:43:49.078] ,-3,23,1074                   
[2019-11-16 22:44:01.672] ,-3,23,1074                   
[2019-11-16 22:44:14.266] ,-3,23,1074                   
[2019-11-16 22:44:26.860] ,-3,23,1074                   
[2019-11-16 22:44:39.461] ,-3,23,1074                   
[2019-11-16 22:44:52.059] ,-3,23,1074                   
[2019-11-16 22:45:04.652] ,-3,23,1074                   
[2019-11-16 22:45:17.247] ,-3,23,1074                   
[2019-11-16 22:45:29.840] ,-3,23,1074                   
[2019-11-16 22:45:42.434] ,-3,23,1074                   
[2019-11-16 22:45:55.029] ,-3,23,1074                   
[2019-11-16 22:46:07.622] ,-3,23,1074                   
[2019-11-16 22:46:20.217] ,-3,23,1074                   
[2019-11-16 22:46:32.810] ,-3,23,1074                   
[2019-11-16 22:46:45.403] ,-3,23,1074                   
[2019-11-16 22:46:57.998] ,-3,23,1074                   
[2019-11-16 22:47:10.591] ,-3,23,1074                   
[2019-11-16 22:47:23.185] ,-3,22,1074                   
[2019-11-16 22:47:35.780] ,-3,23,1074                   
[2019-11-16 22:47:48.377] ,-3,23,1074                   
[2019-11-16 22:48:00.974] ,-3,23,1074                   
[2019-11-16 22:48:13.567] ,-3,23,1074                   
[2019-11-16 22:48:26.160] ,-3,23,1074                   
[2019-11-16 22:48:38.756] ,-3,23,1074                   
[2019-11-16 22:48:51.348] ,-3,23,1074                   
[2019-11-16 22:49:03.944] ,-3,23,1074                   
[2019-11-16 22:49:16.536] ,-3,23,1074                   
[2019-11-16 22:49:29.131] ,-3,23,1074                   
[2019-11-16 22:49:41.725] ,-3,23,1074                   
[2019-11-16 22:49:54.317] ,-3,23,1074                   
[2019-11-16 22:50:06.916] ,-3,23,1074                   
[2019-11-16 22:50:19.512] ,-3,23,1074                   
[2019-11-16 22:50:32.107] ,-3,23,1074                   
[2019-11-16 22:50:44.701] ,-3,23,1074                   
[2019-11-16 22:50:57.293] ,-3,23,1074                   
[2019-11-16 22:51:09.888] ,-3,23,1074                   
[2019-11-16 22:51:22.481] ,-3,23,1074                   
[2019-11-16 22:51:35.075] ,-3,23,1074                   
[2019-11-16 22:51:47.670] ,-3,23,1074                   
[2019-11-16 22:52:00.264] ,-3,23,1074                   
[2019-11-16 22:52:12.856] ,-3,23,1074                   
[2019-11-16 22:52:25.450] ,-3,23,1074                   
[2019-11-16 22:52:38.046] ,-3,23,1074                   
[2019-11-16 22:52:50.638] ,-3,23,1074                   
[2019-11-16 22:53:03.232] ,-3,23,1074                   
[2019-11-16 22:53:15.827] ,-3,23,1074                   
[2019-11-16 22:53:28.421] ,-3,23,1074                   
[2019-11-16 22:53:41.015] ,-3,23,1074                   
[2019-11-16 22:53:53.608] ,-3,23,1074                   
[2019-11-16 22:54:06.203] ,-3,23,1074                   
[2019-11-16 22:54:18.796] ,-3,23,1074                   
[2019-11-16 22:54:31.397] ,-3,23,1074                   
[2019-11-16 22:54:43.996] ,-3,23,1074                   
[2019-11-16 22:54:56.590] ,-3,23,1074                   
[2019-11-16 22:55:09.184] ,-3,23,1074                   
[2019-11-16 22:55:21.779] ,-3,23,1074                   
[2019-11-16 22:55:34.370] ,-3,23,1074                   
[2019-11-16 22:55:46.965] ,-3,23,1074                   
[2019-11-16 22:55:59.559] ,-3,23,1074                   
[2019-11-16 22:56:12.153] ,-3,23,1074                   
[2019-11-16 22:56:24.748] ,-3,23,1074                   
[2019-11-16 22:56:37.340] ,-3,23,1074                   
[2019-11-16 22:56:49.934] ,-3,23,1074                   
[2019-11-16 22:57:02.528] ,-3,23,1074                   
[2019-11-16 22:57:15.123] ,-3,23,1074                   
[2019-11-16 22:57:27.722] ,-3,23,1074                   
[2019-11-16 22:57:40.315] ,-3,23,1074                   
[2019-11-16 22:57:52.909] ,-3,23,1074                   
[2019-11-16 22:58:05.504] ,-3,23,1074                   
[2019-11-16 22:58:18.097] ,-3,23,1074                   
[2019-11-16 22:58:30.691] ,-3,23,1074                   
[2019-11-16 22:58:43.286] ,-3,23,1074                   
[2019-11-16 22:58:55.883] ,-3,23,1074                   
[2019-11-16 22:59:08.479] ,-3,23,1074                   
[2019-11-16 22:59:21.072] ,-3,23,1074                   
[2019-11-16 22:59:33.667] ,-3,23,1074                   
[2019-11-16 22:59:46.261] ,-3,23,1074                   
[2019-11-16 22:59:58.855] ,-3,23,1074                   
[2019-11-16 23:00:11.452] ,-3,23,1074                   
[2019-11-16 23:00:24.042] ,-3,23,1074                   
[2019-11-16 23:00:36.636] ,-3,23,1074                   
[2019-11-16 23:00:49.230] ,-3,23,1074                   
[2019-11-16 23:01:01.823] ,-3,23,1074                   
[2019-11-16 23:01:14.417] ,-3,23,1074                   
[2019-11-16 23:01:27.012] ,-3,23,1074                   
[2019-11-16 23:01:39.607] ,-3,23,1074                   
[2019-11-16 23:01:52.200] ,-3,23,1074                   
[2019-11-16 23:02:04.793] ,-3,23,1074                   
[2019-11-16 23:02:17.388] ,-3,23,1074                   
[2019-11-16 23:02:29.981] ,-3,23,1074                   
[2019-11-16 23:02:42.574] ,-3,23,1074                   
[2019-11-16 23:02:55.169] ,-3,23,1074                   
[2019-11-16 23:03:07.763] ,-3,23,1074                   
[2019-11-16 23:03:20.357] ,-3,23,1074                   
[2019-11-16 23:03:32.951] ,-3,23,1074                   
[2019-11-16 23:03:45.544] ,-3,23,1074                   
[2019-11-16 23:03:58.138] ,-3,23,1074                   
[2019-11-16 23:04:10.735] ,-3,23,1074                   
[2019-11-16 23:04:23.335] ,-3,23,1074                   
